"sub","cj","rt","rtconf","cor","count","experiment","cj_category"
1,3,1.345,0.815,1,31,2,2
1,3,0.532,0.567,1,31,2,2
1,2,0.663,0.704,1,40,2,2
1,1,1.983,0.404,1,24,2,2
1,2,2.381,0.91,0,40,2,2
1,1,0.94,1.015,1,24,2,2
1,1,0.907,0.528,1,24,2,2
1,2,0.927,0.934,1,40,2,2
1,2,0.465,0.879,0,40,2,2
1,3,0.492,0.311,1,31,2,2
1,1,0.764,0.476,0,24,2,2
1,1,0.795,0.391,0,24,2,2
1,1,0.703,0.324,1,24,2,2
1,1,1.376,0.463,0,24,2,2
1,2,0.855,0.583,1,40,2,2
1,3,0.627,0.991,1,31,2,2
1,1,1.061,0.471,1,24,2,2
1,1,1.056,0.43,1,24,2,2
1,2,0.706,0.632,1,40,2,2
1,3,0.43,0.342,1,31,2,2
1,3,0.563,0.319,1,31,2,2
1,2,0.459,0.335,1,40,2,2
1,2,0.368,0.331,1,40,2,2
1,2,0.733,0.527,0,40,2,2
1,1,0.558,0.343,0,24,2,2
1,2,0.694,1.159,1,40,2,2
1,2,0.674,0.631,1,40,2,2
1,2,0.347,0.328,1,40,2,2
1,3,0.903,1.015,1,31,2,2
1,3,0.6,0.784,1,31,2,2
1,3,0.449,0.472,1,31,2,2
1,3,0.259,0.351,1,31,2,2
1,2,0.41,0.773,1,40,2,2
1,2,0.291,0.335,1,40,2,2
1,2,0.288,0.366,1,40,2,2
1,2,0.502,0.364,1,40,2,2
1,3,0.44,0.353,0,31,2,2
1,3,1.143,0.959,1,31,2,2
1,2,0.399,0.637,0,40,2,2
1,2,0.62,0.379,0,40,2,2
1,3,0.704,0.833,1,31,2,2
1,3,0.381,0.757,1,31,2,2
1,1,0.579,1.399,0,24,2,2
1,2,0.542,0.374,1,40,2,2
1,2,0.463,0.279,0,40,2,2
1,3,0.913,0.495,1,31,2,2
1,3,0.488,0.379,1,31,2,2
1,3,0.299,0.219,1,31,2,2
1,3,0.492,0.215,0,31,2,2
1,3,0.421,0.665,1,31,2,2
1,2,0.308,0.162,1,40,2,2
1,3,0.37,0.295,1,31,2,2
1,2,0.257,0.215,1,40,2,2
1,1,0.229,1.379,0,24,2,2
1,2,0.474,0.191,1,40,2,2
1,1,0.436,0.231,0,24,2,2
1,3,0.506,0.115,1,31,2,2
1,2,0.618,0.135,1,40,2,2
1,3,0.441,0.199,0,31,2,2
1,3,0.188,0.151,1,31,2,2
1,3,0.989,0.117,1,31,2,2
1,1,0.298,0.183,1,24,2,2
1,1,0.125,0.124,1,24,2,2
1,3,1.67,0.849,1,31,2,2
1,2,0.402,0.346,1,40,2,2
1,1,0.375,0.204,0,24,2,2
1,2,0.299,0.919,1,40,2,2
1,2,0.346,0.198,1,40,2,2
1,2,0.353,0.139,1,40,2,2
1,2,0.975,0.135,0,40,2,2
1,2,0.282,0.108,1,40,2,2
1,2,0.381,0.664,1,40,2,2
1,2,0.346,0.205,0,40,2,2
1,2,0.258,0.211,0,40,2,2
1,3,0.302,0.5,1,31,2,2
1,3,0.199,0.287,1,31,2,2
1,1,0.899,0.375,1,24,2,2
1,2,0.706,0.704,1,40,2,2
1,2,0.336,0.222,0,40,2,2
1,3,0.329,0.191,1,31,2,2
1,2,0.512,0.414,1,40,2,2
1,2,0.926,0.368,1,40,2,2
1,3,1.069,0.487,1,31,2,2
1,3,0.796,0.366,1,31,2,2
1,2,0.813,0.54,0,40,2,2
1,1,0.462,0.312,0,24,2,2
1,1,0.339,0.28,0,24,2,2
1,1,0.557,1.055,0,24,2,2
1,2,0.914,0.485,1,40,2,2
1,1,0.562,0.481,0,24,2,2
1,1,0.315,0.623,0,24,2,2
1,3,0.408,0.295,1,31,2,2
1,1,0.584,0.324,0,24,2,2
1,2,0.298,0.341,0,40,2,2
